title,summary,alternative_names
Adult Still disease,"Adult Still disease (ASD) is a rare illness that causes high fevers, rash, and joint pain. It may lead to long-term (chronic) arthritis.Adult Still disease is a severe version of juvenile idiopathic arthritis (JIA), which occurs in children. Adults can have the same condition, although it is much less common. It is also called adult-onset Still disease (AOSD).",Still's disease - adult; Adult-onset Still's disease; AOSD; Wissler-Fanconi syndrome
Advance care directives,"When you are very ill or injured, you may not be able to make health care choices for yourself. If you are unable to speak for yourself, your health care providers may be unclear as to what type of care you would prefer. Your family members may be uncertain or disagree about the type of medical care you should receive. An advance care directive is a legal document that tells your providers and others involved in helping you what care you agree to or decline in advance of this type of situation.",Living will; Power of attorney; DNR - advance directive; Do not resuscitate - advance directive; Do-not-resuscitate - advance directive; Durable power of attorney - advance care directive; POA - advance care directive; Health care agent - advance care directive; Health care proxy - advance care directive; End-of-life-advance care directive; Life-support - advance care directive
Aerobic,"Aerobic means oxygen is needed to: SurviveGrowWork properlyFor example, bacteria that need oxygen to grow are called aerobic bacteria.Aerobic is the opposite of anaerobic.",
Aerobic bacteria,Aerobic bacteria are bacteria that can grow and live when oxygen is present.,
Aflatoxin,"Aflatoxins are toxins produced by a mold (fungus) that grows on nuts, seeds, and legumes.",
After a C-section - in the hospital,"Most women will remain in the hospital for 2 to 3 days after a cesarean birth (C-section). Take advantage of the time to bond with your new baby, get some rest, and receive some help with breastfeeding and caring for your baby.",Cesarean section - in the hospital; Postpartum - cesarean
After a fall in the hospital,Falls can be a serious problem in the hospital. Factors that increase the risk of falls include:Poor lightingSlippery floorsEquipment in rooms and hallways that gets in the wayBeing weak or confused from illness or surgeryBeing in new surroundings A history of fallsHospital staff often do not see patients fall. But falls require attention right away to lessen the risk of injury.,Hospital safety - falls; Patient safety - falls
After an exposure to sharps or body fluids,"Being exposed to sharps (needles and other sharp medical instruments) or body fluids means that another person's blood or other body fluid touches your body. Exposure may occur after a needlestick or sharps injury. It can also occur when blood or other body fluid touches your skin, eyes, mouth, or other mucosal surface. Exposure can put you at risk for infection.",
After chemotherapy - discharge,"You had chemotherapy treatment for your cancer. Your risk for infection, bleeding, and skin problems may be high. To stay healthy after chemotherapy, you'll need to take good care of yourself. This includes practicing mouth care, preventing infections, among other measures.",Chemotherapy - discharge; Chemotherapy - home care discharge; Chemotherapy - discharge mouth care; Chemotherapy - preventing infections discharge
After vaginal delivery - in the hospital,"Most women will remain in the hospital for about 24 hours after delivery. This is an important time for you to rest, bond with your new baby, and get help with breastfeeding and newborn care.",After vaginal birth; Pregnancy - after vaginal delivery; Postpartum care - after vaginal delivery
After weight-loss surgery - what to ask your doctor,"Weight-loss surgery is done to help you lose weight and get healthier. After the surgery, you will not be able to eat as much as before. Depending on the type of surgery you had, your body may not absorb all the calories from the food you eat.Below are some questions you may want to ask your health care provider about what will happen after you have the surgery.",Gastric bypass - after - what to ask your doctor; Roux-en-Y gastric bypass - after - what to ask your doctor; Gastric banding - after - what to ask your doctor; Vertical sleeve surgery - after - what to ask your doctor; What to ask your doctor after weight-loss surgery
Aftershave poisoning,"Aftershave is a lotion, gel, or liquid applied to the face after shaving. Many men use it. This article discusses the harmful effects from swallowing aftershave products.This article is for information only. Do NOT use it to treat or manage an actual poison exposure. If you or someone you are with has an exposure, call the local emergency number (such as 911), or the local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",
Agammaglobulinemia,Agammaglobulinemia is an inherited disorder in which a person has very low levels of protective immune system proteins called immunoglobulins. Immunoglobulins are a type of antibody. Low levels of these antibodies make you more likely to get infections.,Bruton's agammaglobulinemia; X-linked agammaglobulinemia; Immunosuppression - agammaglobulinemia; Immunodepressed - agammaglobulinemia; Immunosuppressed - agammaglobulinemia
Age-related hearing loss,"Age-related hearing loss, or presbycusis, is the slow loss of hearing that occurs as people get older.",Hearing loss - age related; Presbycusis
Age-related macular degeneration,"Macular degeneration is an eye disorder that slowly destroys sharp, central vision. This makes it difficult to see fine details and read.The disease is most common in people over age 60, which is why it is often called age-related macular degeneration (ARMD or AMD).Watch this video about:Macular degeneration",Age-related macular degeneration (ARMD); AMD; Vision loss - AMD
Aging changes in body shape,"Your body shape changes naturally as you age. You cannot avoid some of these changes, but your lifestyle choices may slow or speed the process.The human body is made up of fat tissue, lean tissue (muscles and organs), bones, and water. After age 30, people tend to lose lean tissue. Your muscles, liver, kidney, and other organs may lose some of their cells. This process of muscle loss is called atrophy. Bones may lose some of their minerals and become less dense (a process that may lead to a condition called osteopenia in the early stages and osteoporosis in the later stages). Tissue loss reduces the amount of water in your body.The amount of body fat goes up steadily after age 30. Older people may have almost one third more fat compared to when they were younger. Fat tissue builds up toward the center of the body, including around the internal organs. However, the layer of fat under the skin gets smaller.The tendency to become shorter occurs among all races and both sexes. Height loss is related to aging changes in the bones, muscles, and joints. As people age, several things can cause height loss:The gel-like disks between the vertebrae in the spine dry out and flatten. This shortens the spaces between the vertebrae.Muscle loss and loss of core strength can lead to a more stooped posture.Feet tend to flatten with age.Osteoporosis can cause micro fractures in the spine.People typically lose almost one-half inch (about 1 centimeter) every 10 years after age 40. Height loss is even more rapid after age 70. You may lose a total of 1 to 3 inches (2.5 to 7.5 centimeters) in height as you age. You can help lessen height loss by following a healthy diet, staying physically active, and preventing and treating bone loss.Smaller leg muscles and stiffer joints can make moving around harder. Excess body fat and changes in body shape can affect your balance. These body changes can make falls more likely.Changes in total body weight vary for men and women. Men often gain weight until about age 55, and then begin to lose weight later in life. This may be related to a drop in the male sex hormone testosterone. Women usually gain weight until age 65, and then begin to lose weight. Weight loss later in life occurs partly because fat replaces lean muscle tissue, and fat weighs less than muscle. Diet and exercise habits can play a large role in a person's weight changes over their lifetime.Your lifestyle choices affect how quickly the aging process takes place. Some things you can do to reduce age-related body changes are:Get regular exercise.Eat a healthy diet that includes fruits and vegetables, whole grains, and the right amounts of healthy fats.Limit your alcohol use.Avoid tobacco products and illicit drugs.",
